Class,RangeNorm_VT,FirstDerivativeRatio_SigComplete_AP,RelativePower_BelowDomFr_VT,ZeroCrossingRate_VT,Skewness_SigComplete_ML,Moment2ndPSD_Plom_AP,RelativePower_Below5Hz_Magnitude,SkewnessPSD_Plom_Magnitude
0,2.008101399899439,2.0628357253633114,-1.1724483994796848,-1.8924065521533,1.01757217675593,-0.8988079807458682,0.964929203765602,0.4370563677267037
1,-0.2583558732806346,0.0828610744954872,-0.4912804610166882,-0.3513948341841995,-0.600465682621488,-1.2967927982969314,-0.1325608439596136,1.1704041585243492
0,-0.535825230119446,0.7687354271605353,-0.5927901608452937,0.0283296250785005,-0.4021700541257389,0.8473339045686923,-0.5928452897316671,-0.7751335520456336
1,0.342788200946457,-0.1162911698226973,0.3810145824228497,0.8051851726122202,-0.8799279406785138,-0.586626489159701,-1.1110371076704155,1.6910263212070638
0,-0.6513125431874414,0.1308500091634787,0.192401200546579,-0.3491748733624985,1.8743375249475824,2.406501927816822,0.941985802367174,-1.354866832161312
1,1.9388468639517984,-0.1998512353452885,0.7960126401413179,1.1239095714280418,0.4867619035789647,-0.0183487377182505,-0.7936598675597134,0.2067115911296373
0,-1.1979323451524888,-2.540933198746636,-0.6026231135120996,0.6311360816710085,-0.6538735850228315,-0.2354434425852754,1.9985293260604289,-1.2375360678389542
1,-0.6839080003823313,0.0376754998364981,0.8163771871085648,0.736669244697941,-0.574512639504491,-0.4698918800723901,-0.5021179680863629,-0.1063471587853312
0,-0.7087941737517095,0.2035964064845271,-1.0299474788832113,-1.698015098021503,-0.3156478821689986,0.7150467530633232,0.9783719246294164,-0.6680160183110813
1,0.45005357079161,-0.2654761932790201,0.7636939880454655,-0.846114570821523,0.9067626016584154,-1.1945299485551784,-1.64886902595829,-0.9340380513409664
0,-0.8301372825219131,0.4145692271046128,-1.2768761524051837,1.1052749588289443,0.9615577315270868,0.0701745815966136,0.0504654184587587,1.4943306132971304
1,0.1264754128066713,-0.5785715724148083,2.216466167877224,0.7066012742263649,-1.820394154345914,0.661384110088142,-0.1531915723153318,0.0764086285983958
