Class,FirstDerivativeMean_SigComplete_VT,FirstDerivative_Moment3rd_SigComplete_VT,FirstDerivativeRatio_SigComplete_VT,SumSq75_SigComplete_ML,RelativePower_Below5Hz_AP,Moment3rdPSD_Plom_AP,RelativePower_BelowDomFr_Magnitude,CentroidSpMax_Magnitude
0,1.3094027771947794,0.1245759675930542,0.683503243048327,-0.9735188701689076,-0.5051712248098409,-0.4281778739231212,-0.6769162708241119,-0.0923029414990357
1,0.5694815380257305,-0.3483295553338519,0.4956995076291143,1.003752123121727,-0.370701042751397,1.3804246189664449,0.5229403561298942,2.227280912657012
0,-1.0165432517675643,1.0462474517456206,0.4965320529963252,-0.2146923894219814,-0.6116158529979875,-0.4401851034146881,-0.8628252909271145,-0.1085420793502996
1,-0.2145709431125537,-1.5266513884088562,-3.126180937175392,0.9022710269886794,-0.001430104146482,-0.4399092316974131,0.2469582124979923,1.621541940620614
0,-0.4080447844010393,0.9686184549293204,0.105236134477183,-0.5662012896681007,0.9196769601775384,-0.4400612780463855,-0.7471316669555939,-0.4736312456133883
1,0.4240482708300934,0.4981539038168819,-0.2269515369233894,1.075397147702623,-1.2973336754552882,2.8759035607940246,-0.4794927598480266,-0.2775051870186606
0,1.569556060464134,-1.5564691349979085,0.5179623427816884,-0.4075649380450722,1.3970994002964008,-0.4401582027707088,-0.8932665979444225,-1.8976630490301776
1,-0.7160728414549246,-0.4878567608721201,0.4756717704548686,-1.393815690012729,-1.279988432299459,-0.3228245112662057,0.6114047921647967,0.0884142013692242
0,1.4417433991142568,-0.1990300955588504,-0.2108504150282012,-0.9427103251077502,1.7874009191374656,-0.4401441952572839,-0.7818157023639329,-0.5263968142596879
1,-0.6856795389014344,-1.030527309371582,-0.1214191508964005,-1.0968031622823695,-0.5739284398881951,-0.439922028908609,2.500429909471094,0.0020394594417963
0,-1.598394205553037,1.665533963104733,0.111561590807056,1.5199944343261964,1.1183868140606616,-0.4376935591003249,-0.5812394247842128,-0.4291434293037967
1,-0.6749264804384403,0.8457345033535577,0.7992353978288206,1.093891932567689,-0.5823953213234119,-0.4272521953757293,1.1409544433836674,-0.1340917680135993
