Subject,Class,Acc_CorssCorrelationSum_VTAP,Acc_CorssCorrelationPeak_VTAP,Acc_FirstDerivativeRatio_SigComplete_AP,Acc_FirstDerivativeMax_SigComplete_Magnitude,Acc_InterQuartileRange_SigComplete_AP,Acc_RelativePower_BelowDomFr_Magnitude,Acc_ZeroCrossingRate_Magnitude,Gyro_FirstDerivativeLogRatio_SigComplete_ML,Gyro_FirstDerivativeLogRatio_SigComplete_AP,Gyro_RelativePower_Below5Hz_Magnitude
1,0,-0.1660630083350636,-0.6857498144831546,-0.0106565149645683,-1.0740340419566994,-1.4441513247325857,0.0325323613061533,-2.5202279400320418,-1.835525379590756,-1.1575282449386914,-2.318428289755037
1,0,-0.1661339072938925,-0.6857860886391061,0.041014010698042,-1.0740340419566994,-1.4757698976249851,0.7109911186050374,-2.838854270124111,-1.4161818484922948,-0.6334492161559394,-2.477686629939052
1,0,-0.1345579978291768,-0.6103747803081413,-0.0380045713487409,-0.383370360301637,0.1462411626478916,1.4323967188126483,-0.927096289571688,-0.205819614003771,0.3171323213561396,-0.5278281645009404
1,0,-0.1294964200326654,-0.6033194920086462,-0.040400816249064,-0.383370360301637,-0.0032064894129718,-0.4005966658633267,-0.767783124525653,-0.1494160369761744,0.0740788751105098,-0.7367083048829286
1,0,-0.1319209116249203,-0.5738469162532355,0.0892241466607842,-0.383370360301637,-0.0610011393732293,-0.3762842931394632,-0.927096289571688,-0.4419992817338447,0.0706231205638525,0.2140211797795561
1,0,-0.1158333716729509,-0.3970499410487983,0.1156313513075013,-0.1049762974454669,0.1838339404631259,-0.3579580148525883,-0.767783124525653,-0.6314666393959616,0.2737304594126755,0.55591784102117
1,0,-0.1200773695460876,-0.4443994133506431,0.1192992301794371,-0.1049762974454669,-0.0518663119196212,-0.3444560923631474,-0.2898436293875499,-0.2995229488875985,0.4917947632059188,1.408268063776018
1,0,-0.1283288903849097,-0.5380623485300191,0.1095130928757349,-0.1049762974454669,-0.3826176743912031,-0.3653834307290862,-0.4491567944335841,0.4245906700532361,0.5481703863402183,1.5199945763767022
1,0,-0.131341844415588,-0.5444202023675387,0.1114063668061739,-0.1049762974454669,-0.4340636870390671,-0.3839274619886497,-0.927096289571688,0.2604901697255772,0.1629286313271983,1.0161652614940886
1,0,-0.1389558791038856,-0.528630941424948,-0.078186138442126,-0.1049762974454669,-0.6052030184910051,-0.3722932184076776,-0.927096289571688,-0.1049906771660718,0.256380598718594,0.1535722160015147
1,0,-0.1094867508086026,-0.2683984654756237,-0.0679043376706152,1.6601798971664528,-0.4758520247814771,-0.2865610443133413,-0.927096289571688,0.1488855869559418,0.3505141736098195,0.3136361833958063
1,0,-0.1242007860235052,-0.5367715238082211,-0.0548366394568109,1.6601798971664528,-0.5516312352398796,-0.3507146795656905,-0.6084699594796189,0.2713866923564674,0.2820981887218412,0.169199467114621
1,0,-0.1274030786400222,-0.5045701733149855,-0.0725677206284203,1.6601798971664528,-0.3759184217081603,-0.3418365839923823,-0.767783124525653,-0.1088279453633786,-0.1856197222668192,0.0086448180500939
1,0,-0.1152194949357665,-0.4467441273720545,-0.0730343046059154,1.6601798971664528,0.2394529603785742,-0.3240948109626502,-0.4491567944335841,-0.0063632026720761,0.0844813518173691,0.8295369709125555
1,0,-0.1119503394691247,-0.4561500203714514,-0.0813298796549082,1.6601798971664528,0.1615850826668654,-0.3187563775965114,-0.4491567944335841,0.6436644303170792,0.7688630890730075,0.9581748606559434
1,0,-0.1073892225429908,-0.4330070390267452,-0.044442618460419,1.6601798971664528,0.5928354256340099,-0.3126082299260618,-0.4491567944335841,0.6856416165541009,0.4961736829763896,0.6745681862484572
1,0,-0.1379005847416157,-0.5396345122767331,-0.0433941976495498,-0.579150308315208,-0.1559081211400254,0.0666186012004256,-0.4491567944335841,-0.0430164457775176,0.3397623216626607,0.4912832075479009
1,0,-0.137186643103851,-0.5226357236835902,-0.0437586080582452,-0.579150308315208,-0.0541353918038228,-0.1683135223094293,-0.767783124525653,-0.7084018735221136,-0.1476045717965671,0.6817405487503273
1,0,-0.1302026893672376,-0.5036313246329245,-0.0261524799930091,-0.579150308315208,0.3530815088747205,-0.0800952863904849,-1.086409454617722,-0.4606546799478567,0.1600008617907509,0.7599757276508484
